code,name,descr
AC,Accounting & Controlling,Accounting & Controlling
CA,Cross Application,Cross Application
DM,Data Migration,Data Migration
MD,Master Data Governance,Master Data Governance
MS,Marketing & Supply,Marketing & Supply
OM,Operations & Maintenance,Operations & Maintenance
PO,People & Organization,People & Organization
PP,Plan to Pay,Plan to Pay
TP,Treasury & Payment,Treasury & Payment
